,geoid_county,rise,U7B001_isolated
641,12067,3,0
642,12067,4,0
643,12067,5,0
644,12067,6,0
645,12067,7,0
646,12067,8,0
647,12067,9,0
648,12067,10,0
649,12069,0,0
650,12069,1,0
651,12069,2,14
652,12069,3,14
653,12069,4,191
654,12069,5,191
655,12069,6,191
656,12069,7,191
657,12069,8,191
658,12069,9,191
659,12069,10,191
660,12071,0,0
661,12071,1,2428
662,12071,2,8017
663,12071,3,18519
664,12071,4,53781
665,12071,5,130781
666,12071,6,181076
667,12071,7,225014
668,12071,8,266670
669,12071,9,304534
670,12071,10,340160
671,12073,0,0
672,12073,1,0
673,12073,2,0
674,12073,3,0
675,12073,4,0
676,12073,5,0
677,12073,6,0
678,12073,7,0
679,12073,8,0
680,12073,9,0
681,12073,10,0
682,12075,0,0
683,12075,1,167
684,12075,2,410
685,12075,3,1017
686,12075,4,1205
687,12075,5,1588
688,12075,6,1397
689,12075,7,1807
690,12075,8,1935
691,12075,9,1939
692,12075,10,2229
693,12077,0,0
694,12077,1,0
695,12077,2,0
696,12077,3,0
697,12077,4,0
698,12077,5,0
699,12077,6,0
700,12077,7,0
701,12077,8,0
702,12077,9,0
703,12077,10,10
704,12081,0,0
705,12081,1,1952
706,12081,2,9448
707,12081,3,17042
708,12081,4,25841
709,12081,5,32745
710,12081,6,39987
711,12081,7,49208
712,12081,8,58031
713,12081,9,65629
714,12081,10,77209
715,12083,0,0
716,12083,1,0
717,12083,2,0
718,12083,3,0
719,12083,4,7
720,12083,5,7
721,12083,6,7
722,12083,7,7
723,12083,8,7
724,12083,9,7
725,12083,10,7
726,12085,0,0
727,12085,1,237
728,12085,2,3473
729,12085,3,5667
730,12085,4,10276
731,12085,5,19033
732,12085,6,28422
733,12085,7,36285
734,12085,8,47022
735,12085,9,53088
736,12085,10,61302
737,12086,0,0
738,12086,1,11198
739,12086,2,67367
740,12086,3,195480
741,12086,4,340019
742,12086,5,677703
743,12086,6,1288491
744,12086,7,1741106
745,12086,8,1996607
746,12086,9,2159204
747,12086,10,2319569
748,12087,0,0
749,12087,1,5958
750,12087,2,23350
751,12087,3,47251
752,12087,4,53594
753,12087,5,63629
754,12087,6,69678
755,12087,7,73509
756,12087,8,75012
757,12087,9,77811
758,12087,10,79498
759,12089,0,0
760,12089,1,277
761,12089,2,487
762,12089,3,2579
763,12089,4,2984
764,12089,5,6596
765,12089,6,10035
766,12089,7,15203
767,12089,8,16988
768,12089,9,21447
769,12089,10,24256
770,12091,0,0
771,12091,1,0
772,12091,2,227
773,12091,3,387
774,12091,4,3378
775,12091,5,8093
776,12091,6,10776
777,12091,7,12242
778,12091,8,17621
779,12091,9,22781
780,12091,10,24899
781,12095,0,0
782,12095,1,0
783,12095,2,0
784,12095,3,0
785,12095,4,0
786,12095,5,0
787,12095,6,0
788,12095,7,0
789,12095,8,0
790,12095,9,0
791,12095,10,0
792,12099,0,0
793,12099,1,1364
794,12099,2,4108
795,12099,3,15142
796,12099,4,36588
797,12099,5,58116
798,12099,6,81297
799,12099,7,99153
800,12099,8,128451
801,12099,9,156087
802,12099,10,200199
803,12101,0,0
804,12101,1,5835
805,12101,2,10869
806,12101,3,16095
807,12101,4,22528
808,12101,5,27775
809,12101,6,35148
810,12101,7,39068
811,12101,8,47083
812,12101,9,56205
813,12101,10,64373
814,12103,0,0
815,12103,1,5109
816,12103,2,22602
817,12103,3,62119
818,12103,4,111916
819,12103,5,165240
820,12103,6,190019
821,12103,7,209745
822,12103,8,229296
823,12103,9,248761
824,12103,10,280915
825,12107,0,0
826,12107,1,7
827,12107,2,714
828,12107,3,874
829,12107,4,1267
830,12107,5,2061
831,12107,6,2884
832,12107,7,3477
833,12107,8,4981
834,12107,9,5975
835,12107,10,6698
836,12109,0,0
837,12109,1,1251
838,12109,2,3464
839,12109,3,16915
840,12109,4,29646
841,12109,5,38841
842,12109,6,48644
843,12109,7,55820
844,12109,8,62341
845,12109,9,67258
846,12109,10,76639
847,12111,0,0
848,12111,1,573
849,12111,2,765
850,12111,3,5761
851,12111,4,12162
852,12111,5,14048
853,12111,6,16052
854,12111,7,17393
855,12111,8,20159
856,12111,9,24227
857,12111,10,30257
858,12113,0,0
859,12113,1,812
860,12113,2,164
